Date,rahadi_oesman,sta2,sta3,sta4,sta5,sta6,sta7
01-Jan-04,0,0,3,1,2,2,3
02-Jan-04,3.8,0,2,0,0,2,2
03-Jan-04,0,0,0,0,0,0,0
04-Jan-04,1.2,0,0,0,0,0,0
05-Jan-04,0,0,0,0,0,0,0
06-Jan-04,0,0,0,0,0,0,0
07-Jan-04,0,0,0,0,0,0,0
08-Jan-04,0,0,0,0,0,0,0
09-Jan-04,0,0,0,0,0,0,0
10-Jan-04,30.8,0,0,8,0,0,0
11-Jan-04,0,0,0,0,0,0,0
12-Jan-04,34.2,0,0,0,0,0,0
13-Jan-04,21.6,0,0,0,0,0,0
14-Jan-04,8.4,16,0,0,0,0,0
15-Jan-04,0,0,0,0,0,7,22
16-Jan-04,17.2,0,0,0,0,0,0
17-Jan-04,0,0,8,14,20,0,0
18-Jan-04,11.4,0,83,18,58,17,0
19-Jan-04,32.6,0,0,4,9,10,0
20-Jan-04,3.8,0,1,13,0,19,27
21-Jan-04,0.5,0,3,0,24,3,0
22-Jan-04,0,16,8,0,15,14,5
23-Jan-04,13,6,10,0,15,25,18
24-Jan-04,102.7,0,12,18,1,26,2
25-Jan-04,0,27,4,4,11,0,7
26-Jan-04,102.5,9,10,41,1,15,7
27-Jan-04,2.9,14,17,5,9,0,10
28-Jan-04,6.6,13,4,47,0,8,5
29-Jan-04,25.3,8,4,15,9,19,0
30-Jan-04,0.9,2,19,109,4,26,26
31-Jan-04,0,14,7,10,1,24,6
01-Feb-04,109.9,8,73,14,2,25,3
02-Feb-04,133.1,4,9,35,37,23,7
03-Feb-04,1.4,1,11,4,6,18,14
04-Feb-04,0,40,10,61,13,12,8
05-Feb-04,0,5,18,27,0,17,28
06-Feb-04,26.3,0,2,6,5,29,4
07-Feb-04,0,0,3,3,0,0,3
08-Feb-04,0,0,1,1,0,0,28
09-Feb-04,0,0,0,0,1,0,2
10-Feb-04,0,0,2,5,0,0,2
11-Feb-04,0,2,0,1,3,0,0
12-Feb-04,0.4,35,66,15,55,20,1
13-Feb-04,1.4,47,60,11,2,29,19
14-Feb-04,0,6,28,1,0,0,24
15-Feb-04,0,21,2,0,33,0,7
16-Feb-04,0,15,26,7,3,24,3
17-Feb-04,0,3,46,5,2,4,7
18-Feb-04,0,15,57,1,0,5,8
19-Feb-04,0,27,13,6,54,18,2
20-Feb-04,22,53,33,67,30,53,25
21-Feb-04,7.3,12,43,41,0,82,45
22-Feb-04,0,11,7,1,2,0,7
23-Feb-04,0,17,5,11,2,7,7
24-Feb-04,0,0,7,9,0,18,16
25-Feb-04,0,16,0,0,9,0,0
26-Feb-04,0,15,12,34,5,8,2
27-Feb-04,0,7,0,2,0,3,3
28-Feb-04,0,0,5,11,6,18,5
29-Feb-04,0,2,3,0,0,0,0
01-Mar-04,0,7,1,0,4,0,0
02-Mar-04,20,0,14,6,0,5,2
03-Mar-04,36.6,0,1,0,0,0,2
04-Mar-04,0.1,5,0,2,0,0,0
05-Mar-04,1.4,0,5,1,0,3,0
06-Mar-04,0.6,9,7,2,17,1,4
07-Mar-04,71.5,5,10,8,1,9,12
08-Mar-04,16.4,0,5,1,3,3,0
09-Mar-04,0.6,8,5,6,1,5,1
10-Mar-04,18,0,15,3,0,0,7
11-Mar-04,0,0,0,0,0,0,1
12-Mar-04,0,20,13,0,4,12,39
13-Mar-04,0,6,11,8,18,7,4
14-Mar-04,0,17,13,28,20,52,9
15-Mar-04,2.4,5,23,8,30,18,22
16-Mar-04,13.9,5,45,5,4,38,7
17-Mar-04,0,3,29,32,8,27,4
18-Mar-04,0,3,50,8,25,4,18
19-Mar-04,0,2,5,17,10,14,6
20-Mar-04,0.8,2,3,37,2,3,1
21-Mar-04,0,0,3,3,0,0,1
22-Mar-04,0,0,1,0,0,0,0
23-Mar-04,0,0,0,0,0,0,0
24-Mar-04,0,0,0,0,0,0,0
25-Mar-04,0,0,0,0,7,0,0
26-Mar-04,0,5,8,0,19,1,4
27-Mar-04,0,0,16,4,11,12,8
28-Mar-04,0,2,3,32,1,11,1
29-Mar-04,1.7,6,4,1,1,1,7
30-Mar-04,23,6,1,7,7,7,8
31-Mar-04,15.3,4,11,7,8,15,2
01-Apr-04,1,2,65,5,0,3,22
02-Apr-04,8,38,3,0,8,0,3
03-Apr-04,52,4,18,27,6,5,2
04-Apr-04,8.3,0,6,10,0,4,13
05-Apr-04,0.5,38,8,3,8,0,0
06-Apr-04,1.6,41,38,8,2,1,0
07-Apr-04,12.4,4,7,9,31,2,13
08-Apr-04,1.8,3,5,14,0,5,13
09-Apr-04,0,3,10,0,2,0,2
10-Apr-04,3.6,31,15,1,0,0,12
11-Apr-04,2,4,10,0,2,2,3
12-Apr-04,0,23,5,4,2,2,11
13-Apr-04,0,20,14,11,19,2,10
14-Apr-04,21.6,0,50,7,0,5,61
15-Apr-04,0,2,2,1,11,4,1
16-Apr-04,11.6,23,1,2,1,7,2
17-Apr-04,0,28,0,1,17,4,0
18-Apr-04,2.4,37,2,4,33,7,6
19-Apr-04,0.3,8,54,69,24,35,14
20-Apr-04,4.8,6,6,57,2,40,11
21-Apr-04,0.3,17,50,13,20,3,0
22-Apr-04,7.4,20,12,29,20,15,11
23-Apr-04,2,7,25,22,50,89,13
24-Apr-04,7.9,13,24,3,4,49,14
25-Apr-04,37,4,10,37,2,4,10
26-Apr-04,92.5,30,9,1,52,4,21
27-Apr-04,9.2,2,65,13,47,20,45
28-Apr-04,24.3,3,0,4,27,5,21
29-Apr-04,24.8,0,1,2,14,65,29
30-Apr-04,4.5,5,0,1,3,2,0
01-May-04,2.8,11,15,0,3,0,0
02-May-04,6.8,0,7,8,0,2,1
03-May-04,0,0,0,0,0,0,2
04-May-04,0,1,0,0,0,0,0
05-May-04,23.5,0,0,0,0,0,5
06-May-04,14.6,0,1,0,0,0,0
07-May-04,35.7,0,0,0,0,0,0
08-May-04,0,0,0,0,0,0,0
09-May-04,0,6,0,0,24,0,0
10-May-04,0,0,1,1,0,4,10
11-May-04,30.6,13,1,0,0,0,0
12-May-04,0,7,0,0,5,0,5
13-May-04,0,0,1,2,58,2,5
14-May-04,0,0,30,11,0,13,0
15-May-04,0,0,0,1,9,0,0
16-May-04,0,15,32,10,45,35,17
17-May-04,0,2,23,13,7,30,5
18-May-04,0,25,9,8,0,13,3
19-May-04,0,0,6,0,21,0,0
20-May-04,0,0,8,0,0,11,0
21-May-04,0,0,0,0,0,0,0
22-May-04,32.3,0,1,0,0,0,0
23-May-04,30.4,0,0,0,0,0,0
24-May-04,0,0,0,0,0,0,0
25-May-04,0,0,0,0,0,0,0
26-May-04,36.8,0,0,0,0,0,0
27-May-04,166.4,0,0,0,0,0,0
28-May-04,8.5,9,0,0,0,0,0
29-May-04,0.6,0,0,0,0,0,0
30-May-04,46.6,0,0,0,0,0,0
31-May-04,21.5,8,7,14,4,9,1
01-Jun-04,26.8,0,1,2,4,0,11
02-Jun-04,8,0,1,0,0,0,0
03-Jun-04,0,0,0,0,0,0,0
04-Jun-04,0,0,9,0,2,0,29
05-Jun-04,0,0,4,0,0,0,21
06-Jun-04,0,0,0,0,0,0,0
07-Jun-04,0,0,2,0,18,0,0
08-Jun-04,17,0,2,13,0,0,6
09-Jun-04,28.2,0,0,0,0,0,0
10-Jun-04,0,0,0,0,0,0,0
11-Jun-04,0,0,0,0,0,0,0
12-Jun-04,0,0,0,0,0,0,0
13-Jun-04,0,0,0,0,0,0,0
14-Jun-04,0,0,0,0,0,0,0
15-Jun-04,0,0,0,0,0,0,0
16-Jun-04,0,0,0,0,0,0,0
17-Jun-04,0,2,0,19,20,0,2
18-Jun-04,0,16,32,8,1,10,52
19-Jun-04,0,21,2,11,17,4,2
20-Jun-04,0,55,12,15,4,20,33
21-Jun-04,0,0,2,0,0,0,2
22-Jun-04,0,1,0,3,0,5,0
23-Jun-04,0,0,0,0,0,0,1
24-Jun-04,0,0,0,0,0,0,0
25-Jun-04,0,0,0,0,0,0,0
26-Jun-04,0,0,0,0,0,0,0
27-Jun-04,0.2,6,0,0,6,0,0
28-Jun-04,0,0,3,37,0,8,3
29-Jun-04,0,10,7,0,22,0,0
30-Jun-04,0,0,0,0,35,1,0
01-Jul-04,6,0,14,23,0,30,12
02-Jul-04,0,0,0,0,0,0,0
03-Jul-04,0,0,0,0,0,0,0
04-Jul-04,1,0,0,0,0,0,0
05-Jul-04,4.6,4,0,0,0,0,0
06-Jul-04,4.4,0,0,0,0,0,3
07-Jul-04,17.5,0,0,0,0,0,1
08-Jul-04,7.1,0,0,0,0,0,0
09-Jul-04,0,0,0,0,0,0,0
10-Jul-04,0,0,0,0,0,0,0
11-Jul-04,7.8,0,0,0,0,0,0
12-Jul-04,-,0,0,0,0,0,0
13-Jul-04,0,0,0,0,0,0,0
14-Jul-04,10.4,0,0,0,0,0,0
15-Jul-04,0,0,0,0,0,0,0
16-Jul-04,0,0,0,0,0,0,0
17-Jul-04,10.9,0,0,0,0,0,0
18-Jul-04,0,0,0,0,0,0,0
19-Jul-04,0,0,0,0,0,0,0
20-Jul-04,5.8,0,0,0,0,0,0
21-Jul-04,82.1,0,0,0,0,0,0
22-Jul-04,-,0,0,0,0,0,0
23-Jul-04,0,0,0,0,0,0,0
24-Jul-04,0.4,0,0,0,0,0,0
25-Jul-04,-,0,0,0,0,0,0
26-Jul-04,0,0,0,0,0,0,0
27-Jul-04,0,0,0,0,0,0,0
28-Jul-04,0,0,0,0,0,0,0
29-Jul-04,4.2,0,0,0,0,0,0
30-Jul-04,3.4,0,0,0,0,0,0
31-Jul-04,0,0,0,0,0,0,0
01-Aug-04,0,0,0,0,0,0,0
02-Aug-04,0,0,0,0,0,0,0
03-Aug-04,0,0,0,0,0,0,0
04-Aug-04,0,0,0,0,0,0,4
05-Aug-04,0,0,0,0,0,0,0
06-Aug-04,0,0,0,0,0,0,0
07-Aug-04,0,0,0,0,0,0,0
08-Aug-04,0,0,0,0,0,0,0
09-Aug-04,0,0,0,0,0,0,0
10-Aug-04,0,0,0,0,0,0,0
11-Aug-04,0,0,0,0,0,0,0
12-Aug-04,0,0,0,0,0,0,0
13-Aug-04,0,0,0,0,0,0,0
14-Aug-04,0,0,0,0,0,0,0
15-Aug-04,0,0,0,0,0,0,0
16-Aug-04,0,0,0,0,0,0,0
17-Aug-04,0,0,0,0,0,0,0
18-Aug-04,0,0,0,0,0,0,0
19-Aug-04,0,0,0,0,0,0,0
20-Aug-04,0,0,0,0,0,0,0
21-Aug-04,0,0,0,0,0,0,0
22-Aug-04,0,0,0,0,0,0,2
23-Aug-04,0,0,0,0,0,0,0
24-Aug-04,0,0,0,0,0,0,1
25-Aug-04,0,0,0,0,0,0,0
26-Aug-04,0,0,0,0,0,0,0
27-Aug-04,0,0,0,0,0,0,0
28-Aug-04,0,0,0,0,0,0,0
29-Aug-04,0,0,0,0,0,0,0
30-Aug-04,0,0,0,0,0,0,0
31-Aug-04,0,0,0,0,0,0,0
01-Sep-04,0,0,0,0,0,0,0
02-Sep-04,0,0,0,0,0,0,0
