"","Date","rahadi_oesman","sta2","sta3","sta4","sta5","sta6","sta7"
"1",2004-01-01,0,0,3,"1",2,2,3
"2",2004-01-02,3.8,0,2,"0",0,2,2
"3",2004-01-03,0,0,0,"0",0,0,0
"4",2004-01-04,1.2,0,0,"0",0,0,0
"5",2004-01-05,0,0,0,"0",0,0,0
"6",2004-01-06,0,0,0,"0",0,0,0
"7",2004-01-07,0,0,0,"0",0,0,0
"8",2004-01-08,0,0,0,"0",0,0,0
"9",2004-01-09,0,0,0,"0",0,0,0
"10",2004-01-10,30.8,0,0,"8",0,0,0
"11",2004-01-11,0,0,0,"0",0,0,0
"12",2004-01-12,34.2,0,0,"0",0,0,0
"13",2004-01-13,21.6,0,0,"0",0,0,0
"14",2004-01-14,8.4,16,0,"0",0,0,0
"15",2004-01-15,0,0,0,"0",0,7,22
"16",2004-01-16,17.2,0,0,"0",0,0,0
"17",2004-01-17,0,0,8,"14",20,0,0
"18",2004-01-18,11.4,0,83,"18",58,17,0
"19",2004-01-19,32.6,0,0,"4",9,10,0
"20",2004-01-20,3.8,0,1,"13",0,19,27
"21",2004-01-21,0.5,0,3,"0",24,3,0
"22",2004-01-22,0,16,8,"0",15,14,5
"23",2004-01-23,13,6,10,"0",15,25,18
"24",2004-01-24,102.7,0,12,"18",1,26,2
"25",2004-01-25,0,27,4,"4",11,0,7
"26",2004-01-26,102.5,9,10,"41",1,15,7
"27",2004-01-27,2.9,14,17,"5",9,0,10
"28",2004-01-28,6.6,13,4,"47",0,8,5
"29",2004-01-29,25.3,8,4,"15",9,19,0
"30",2004-01-30,0.9,2,19,"109",4,26,26
"31",2004-01-31,0,14,7,"10",1,24,6
"32",2004-02-01,109.9,8,73,"14",2,25,3
"33",2004-02-02,133.1,4,9,"35",37,23,7
"34",2004-02-03,1.4,1,11,"4",6,18,14
"35",2004-02-04,0,40,10,"61",13,12,8
"36",2004-02-05,0,5,18,"27",0,17,28
"37",2004-02-06,26.3,0,2,"6",5,29,4
"38",2004-02-07,0,0,3,"3",0,0,3
"39",2004-02-08,0,0,1,"1",0,0,28
"40",2004-02-09,0,0,0,"0",1,0,2
"41",2004-02-10,0,0,2,"5",0,0,2
"42",2004-02-11,0,2,0,"1",3,0,0
"43",2004-02-12,0.4,35,66,"15",55,20,1
"44",2004-02-13,1.4,47,60,"11",2,29,19
"45",2004-02-14,0,6,28,"1",0,0,24
"46",2004-02-15,0,21,2,"0",33,0,7
"47",2004-02-16,0,15,26,"7",3,24,3
"48",2004-02-17,0,3,46,"5",2,4,7
"49",2004-02-18,0,15,57,"1",0,5,8
"50",2004-02-19,0,27,13,"6",54,18,2
"51",2004-02-20,22,53,33,"67",30,53,25
"52",2004-02-21,7.3,12,43,"41",0,82,45
"53",2004-02-22,0,11,7,"1",2,0,7
"54",2004-02-23,0,17,5,"11",2,7,7
"55",2004-02-24,0,0,7,"9",0,18,16
"56",2004-02-25,0,16,0,"0",9,0,0
"57",2004-02-26,0,15,12,"34",5,8,2
"58",2004-02-27,0,7,0,"2",0,3,3
"59",2004-02-28,0,0,5,"11",6,18,5
"60",2004-02-29,0,2,3,"0",0,0,0
"61",2004-03-01,0,7,1,"0",4,0,0
"62",2004-03-02,20,0,14,"6",0,5,2
"63",2004-03-03,36.6,0,1,"0",0,0,2
"64",2004-03-04,0.1,5,0,"2",0,0,0
"65",2004-03-05,1.4,0,5,"1",0,3,0
"66",2004-03-06,0.6,9,7,"2",17,1,4
"67",2004-03-07,71.5,5,10,"8",1,9,12
"68",2004-03-08,16.4,0,5,"1",3,3,0
"69",2004-03-09,0.6,8,5,"6",1,5,1
"70",2004-03-10,18,0,15,"3",0,0,7
"71",2004-03-11,0,0,0,"0",0,0,1
"72",2004-03-12,0,20,13,"0",4,12,39
"73",2004-03-13,0,6,11,"8",18,7,4
"74",2004-03-14,0,17,13,"28",20,52,9
"75",2004-03-15,2.4,5,23,"8",30,18,22
"76",2004-03-16,13.9,5,45,"5",4,38,7
"77",2004-03-17,0,3,29,"32",8,27,4
"78",2004-03-18,0,3,50,"8",25,4,18
"79",2004-03-19,0,2,5,"17",10,14,6
"80",2004-03-20,0.8,2,3,"37",2,3,1
"81",2004-03-21,0,0,3,"3",0,0,1
"82",2004-03-22,0,0,1,"0",0,0,0
"83",2004-03-23,0,0,0,"0",0,0,0
"84",2004-03-24,0,0,0,"0",0,0,0
"85",2004-03-25,0,0,0,"0",7,0,0
"86",2004-03-26,0,5,8,"0",19,1,4
"87",2004-03-27,0,0,16,"4",11,12,8
"88",2004-03-28,0,2,3,"32",1,11,1
"89",2004-03-29,1.7,6,4,"1",1,1,7
"90",2004-03-30,23,6,1,"7",7,7,8
"91",2004-03-31,15.3,4,11,"7",8,15,2
"92",2004-04-01,1,2,65,"5",0,3,22
"93",2004-04-02,8,38,3,"0",8,0,3
"94",2004-04-03,52,4,18,"27",6,5,2
"95",2004-04-04,8.3,0,6,"10",0,4,13
"96",2004-04-05,0.5,38,8,"3",8,0,0
"97",2004-04-06,1.6,41,38,"8",2,1,0
"98",2004-04-07,12.4,4,7,"9",31,2,13
"99",2004-04-08,1.8,3,5,"14",0,5,13
"100",2004-04-09,0,3,10,"0",2,0,2
"101",2004-04-10,3.6,31,15,"1",0,0,12
"102",2004-04-11,2,4,10,"0",2,2,3
"103",2004-04-12,0,23,5,"4",2,2,11
"104",2004-04-13,0,20,14,"11",19,2,10
"105",2004-04-14,21.6,0,50,"7",0,5,61
"106",2004-04-15,0,2,2,"1",11,4,1
"107",2004-04-16,11.6,23,1,"2",1,7,2
"108",2004-04-17,0,28,0,"1",17,4,0
"109",2004-04-18,2.4,37,2,"4",33,7,6
"110",2004-04-19,0.3,8,54,"69",24,35,14
"111",2004-04-20,4.8,6,6,"57",2,40,11
"112",2004-04-21,0.3,17,50,"13",20,3,0
"113",2004-04-22,7.4,20,12,"29",20,15,11
"114",2004-04-23,2,7,25,"22",50,89,13
"115",2004-04-24,7.9,13,24,"3",4,49,14
"116",2004-04-25,37,4,10,"37",2,4,10
"117",2004-04-26,92.5,30,9,"1",52,4,21
"118",2004-04-27,9.2,2,65,"13",47,20,45
"119",2004-04-28,24.3,3,0,"4",27,5,21
"120",2004-04-29,24.8,0,1,"2",14,65,29
"121",2004-04-30,4.5,5,0,"1",3,2,0
"122",2004-05-01,2.8,11,15,"0",3,0,0
"123",2004-05-02,6.8,0,7,"8",0,2,1
"124",2004-05-03,0,0,0,"0",0,0,2
"125",2004-05-04,0,1,0,"0",0,0,0
"126",2004-05-05,23.5,0,0,"0",0,0,5
"127",2004-05-06,14.6,0,1,"0",0,0,0
"128",2004-05-07,35.7,0,0,"0",0,0,0
