"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2004",102.7,133.1,71.5,92.5,166.4,28.2,82.1,0,51.1,54.2,106.4,65.6
"2005",34.8,58.4,84.7,135.6,47.3,32,121.5,11.2,64.4,83,85.6,90.2
"2006",51.8,26.6,6,73.6,59.3,115.9,5.2,0.3,28.3,14.8,70.5,63.2
"2007",41.9,49,70.4,92,39.7,100.7,52.7,40.7,45.3,43,192.3,91.2
"2008",92,52,47.6,45.4,61.2,104.1,33.4,55.6,73.6,149.4,68.8,204.5
"2009",226.6,50,51,104.4,37.2,42.5,9,8.9,30.9,133.9,106.8,115.1
"2010",59.6,63.8,96.5,62.7,53.7,51,59.5,98.6,87,56.6,39.9,78.4
"2011",132.5,97.3,42.9,55.8,32.2,166,53.6,86.6,42,80.9,86.6,76.1
"2012",35.3,68.6,30.7,78.5,23.8,72.5,12.3,53.4,11.2,65,64.8,150.5
"2013",39.4,74.5,41.5,105.1,111.7,67.8,106.1,19.1,68.3,NA,37.9,70.1
"2014",36.7,43.3,86,30.6,65,72.4,32.1,52.7,0,60.7,61.8,102
"2015",71.2,259.6,50.4,46,70.7,4.3,23.6,7.1,0,24.9,79.2,128.7
"2016",82.7,73.4,48,54.8,67.6,58.1,106.2,18.5,64.8,76.5,48.8,32.4
"2017",154.1,40.1,22.9,99,41.3,110.2,48.2,66.2,19.8,36.1,42.5,82.1
"2018",101,42.8,103.4,43.1,155.4,79.3,14.5,13.7,28.4,97.9,45.2,99.9
"2019",64.1,71.4,56.6,159.5,22,116.4,40.6,8,12.2,62.5,70.8,133
"2020",73,92,74.6,42.8,92.2,104.8,89.6,56.8,33.4,103.2,113.5,81
"2021",58.6,24.1,53.6,69.2,36.5,67.7,55.3,79.2,124,53.9,171.7,118.3
"2022",69,79.1,57.2,63.4,47.2,63.5,87.1,194.5,103.6,121.7,63,63.3
"2023",45.2,25.2,76,137.8,31,43.2,67.5,13,91.3,48,152.6,90.5
