date,rainfall
01/01/2004,0
02/01/2004,3.8
03/01/2004,0
04/01/2004,1.2
05/01/2004,0
06/01/2004,0
07/01/2004,0
08/01/2004,0
09/01/2004,0
10/01/2004,30.8
11/01/2004,0
12/01/2004,34.2
13/01/2004,21.6
14/01/2004,8.4
15/01/2004,0
16/01/2004,17.2
17/01/2004,0
18/01/2004,11.4
19/01/2004,32.6
20/01/2004,3.8
21/01/2004,0.5
22/01/2004,0
23/01/2004,13
24/01/2004,102.7
25/01/2004,0
26/01/2004,102.5
27/01/2004,2.9
28/01/2004,6.6
29/01/2004,25.3
30/01/2004,0.9
31/01/2004,0
01/02/2004,109.9
02/02/2004,133.1
03/02/2004,1.4
04/02/2004,0
05/02/2004,0
06/02/2004,26.3
07/02/2004,0
08/02/2004,0
09/02/2004,0
10/02/2004,0
11/02/2004,0
12/02/2004,0.4
13/02/2004,1.4
14/02/2004,0
15/02/2004,0
16/02/2004,0
17/02/2004,0
18/02/2004,0
19/02/2004,0
20/02/2004,22
21/02/2004,7.3
22/02/2004,0
23/02/2004,0
24/02/2004,0
25/02/2004,0
26/02/2004,0
27/02/2004,0
28/02/2004,0
29/02/2004,0
01/03/2004,0
02/03/2004,20
03/03/2004,36.6
04/03/2004,0.1
05/03/2004,1.4
06/03/2004,0.6
07/03/2004,71.5
08/03/2004,16.4
09/03/2004,0.6
10/03/2004,18
11/03/2004,0
12/03/2004,0
13/03/2004,0
14/03/2004,0
15/03/2004,2.4
16/03/2004,13.9
17/03/2004,0
18/03/2004,0
19/03/2004,0
20/03/2004,0.8
21/03/2004,0
22/03/2004,0
23/03/2004,0
24/03/2004,0
25/03/2004,0
26/03/2004,0
27/03/2004,0
28/03/2004,0
29/03/2004,1.7
30/03/2004,23
31/03/2004,15.3
01/04/2004,1
02/04/2004,8
03/04/2004,52
04/04/2004,8.3
05/04/2004,0.5
06/04/2004,1.6
07/04/2004,12.4
08/04/2004,1.8
09/04/2004,0
10/04/2004,3.6
11/04/2004,2
12/04/2004,0
13/04/2004,0
14/04/2004,21.6
15/04/2004,0
16/04/2004,11.6
17/04/2004,0
18/04/2004,2.4
19/04/2004,0.3
20/04/2004,4.8
21/04/2004,0.3
22/04/2004,7.4
23/04/2004,2
24/04/2004,7.9
25/04/2004,37
26/04/2004,92.5
27/04/2004,9.2
28/04/2004,24.3
29/04/2004,24.8
30/04/2004,4.5
01/05/2004,2.8
02/05/2004,6.8
03/05/2004,0
04/05/2004,0
05/05/2004,23.5
06/05/2004,14.6
07/05/2004,35.7
08/05/2004,0
09/05/2004,0
10/05/2004,0
11/05/2004,30.6
12/05/2004,0
13/05/2004,0
14/05/2004,0
15/05/2004,0
16/05/2004,0
17/05/2004,0
18/05/2004,0
19/05/2004,0
20/05/2004,0
21/05/2004,0
22/05/2004,32.3
23/05/2004,30.4
24/05/2004,0
25/05/2004,0
26/05/2004,36.8
27/05/2004,166.4
28/05/2004,8.5
29/05/2004,0.6
30/05/2004,46.6
31/05/2004,21.5
01/06/2004,26.8
02/06/2004,8
03/06/2004,0
04/06/2004,0
05/06/2004,0
06/06/2004,0
07/06/2004,0
08/06/2004,17
09/06/2004,28.2
10/06/2004,0
11/06/2004,0
12/06/2004,0
13/06/2004,0
14/06/2004,0
15/06/2004,0
16/06/2004,0
17/06/2004,0
18/06/2004,0
19/06/2004,0
20/06/2004,0
21/06/2004,0
22/06/2004,0
23/06/2004,0
24/06/2004,0
25/06/2004,0
26/06/2004,0
27/06/2004,0.2
28/06/2004,0
29/06/2004,0
30/06/2004,0
01/07/2004,6
02/07/2004,0
03/07/2004,0
04/07/2004,1
05/07/2004,4.6
06/07/2004,4.4
07/07/2004,17.5
08/07/2004,7.1
09/07/2004,0
10/07/2004,0
11/07/2004,7.8
12/07/2004,-
13/07/2004,0
14/07/2004,10.4
15/07/2004,0
16/07/2004,0
17/07/2004,10.9
18/07/2004,0
19/07/2004,0
20/07/2004,5.8
21/07/2004,82.1
22/07/2004,-
23/07/2004,0
24/07/2004,0.4
25/07/2004,-
26/07/2004,0
27/07/2004,0
28/07/2004,0
29/07/2004,4.2
30/07/2004,3.4
31/07/2004,0
01/08/2004,0
02/08/2004,0
03/08/2004,0
04/08/2004,0
05/08/2004,0
06/08/2004,0
07/08/2004,0
08/08/2004,0
09/08/2004,0
10/08/2004,0
11/08/2004,0
12/08/2004,0
13/08/2004,0
14/08/2004,0
15/08/2004,0
16/08/2004,0
17/08/2004,0
18/08/2004,0
19/08/2004,0
20/08/2004,0
21/08/2004,0
22/08/2004,0
23/08/2004,0
24/08/2004,0
25/08/2004,0
26/08/2004,0
27/08/2004,0
28/08/2004,0
29/08/2004,0
30/08/2004,0
31/08/2004,0
01/09/2004,0
02/09/2004,0
03/09/2004,0
04/09/2004,0
05/09/2004,11.5
06/09/2004,0
07/09/2004,0
08/09/2004,0
09/09/2004,29.3
10/09/2004,0
11/09/2004,0
12/09/2004,0
13/09/2004,1.2
14/09/2004,0
15/09/2004,51.1
16/09/2004,10.6
17/09/2004,2.7
18/09/2004,0
19/09/2004,0
20/09/2004,10.1
21/09/2004,0
22/09/2004,0
23/09/2004,0
24/09/2004,0
25/09/2004,0
26/09/2004,0
27/09/2004,0
28/09/2004,0.6
29/09/2004,4.1
30/09/2004,28
01/10/2004,37.4
02/10/2004,0
03/10/2004,0
04/10/2004,0
05/10/2004,0
06/10/2004,0
07/10/2004,0
08/10/2004,0
09/10/2004,0
10/10/2004,0
11/10/2004,0.1
12/10/2004,23.9
13/10/2004,0
14/10/2004,0
15/10/2004,0
16/10/2004,0
17/10/2004,0
18/10/2004,0
19/10/2004,28.5
20/10/2004,2.5
21/10/2004,54.2
22/10/2004,23.2
23/10/2004,0
24/10/2004,15
25/10/2004,4
26/10/2004,18.3
27/10/2004,8.8
28/10/2004,1.4
29/10/2004,29.3
30/10/2004,9.4
31/10/2004,0.4
01/11/2004,1.5
02/11/2004,12.5
03/11/2004,16.8
04/11/2004,0
05/11/2004,0
06/11/2004,21
07/11/2004,26.6
08/11/2004,34.7
09/11/2004,-
10/11/2004,6.6
11/11/2004,0
12/11/2004,4.9
13/11/2004,37.4
14/11/2004,3.3
15/11/2004,106.4
16/11/2004,1.5
17/11/2004,4.4
18/11/2004,59.2
19/11/2004,0
20/11/2004,74.8
21/11/2004,76.5
22/11/2004,8.7
23/11/2004,15.2
24/11/2004,0.4
25/11/2004,9.8
26/11/2004,0.2
27/11/2004,0
28/11/2004,7.4
29/11/2004,26.9
30/11/2004,15.3
01/12/2004,27.5
02/12/2004,6.7
03/12/2004,1.2
04/12/2004,23.4
05/12/2004,3.3
06/12/2004,32.1
07/12/2004,65.6
08/12/2004,1.4
09/12/2004,6.6
10/12/2004,0
11/12/2004,0
12/12/2004,5.6
13/12/2004,12.3
14/12/2004,14.9
15/12/2004,38.8
16/12/2004,-
17/12/2004,1.7
18/12/2004,0
19/12/2004,1.4
20/12/2004,14.9
21/12/2004,0
22/12/2004,0
23/12/2004,40.6
24/12/2004,18.6
25/12/2004,26.6
26/12/2004,1.3
27/12/2004,-
28/12/2004,19.6
29/12/2004,64.6
30/12/2004,4.4
31/12/2004,5.1
01/01/2005,0
02/01/2005,-
03/01/2005,0
04/01/2005,34.8
05/01/2005,0
06/01/2005,17.4
07/01/2005,22.2
08/01/2005,-
09/01/2005,14.8
10/01/2005,0
11/01/2005,0
12/01/2005,0
13/01/2005,5.7
14/01/2005,0
15/01/2005,0
16/01/2005,-
17/01/2005,0
18/01/2005,15.8
19/01/2005,3.2
20/01/2005,0
21/01/2005,0
22/01/2005,0.8
23/01/2005,1.5
24/01/2005,0
25/01/2005,1
26/01/2005,0
27/01/2005,0
28/01/2005,0
29/01/2005,3.6
30/01/2005,0.3
31/01/2005,0
01/02/2005,0
02/02/2005,0
03/02/2005,0
04/02/2005,0
05/02/2005,0
06/02/2005,0
07/02/2005,0
08/02/2005,0
09/02/2005,0
10/02/2005,1.9
11/02/2005,10
12/02/2005,58.4
13/02/2005,2.3
14/02/2005,2.8
15/02/2005,17.9
16/02/2005,12.8
17/02/2005,0
18/02/2005,29.2
19/02/2005,20.2
20/02/2005,0.4
21/02/2005,0
22/02/2005,8.1
23/02/2005,2.6
24/02/2005,0.2
25/02/2005,0
26/02/2005,2.4
27/02/2005,0
28/02/2005,10.9
01/03/2005,0
02/03/2005,4.6
03/03/2005,84.7
04/03/2005,0
05/03/2005,0
06/03/2005,0
07/03/2005,0
08/03/2005,37.5
09/03/2005,0
10/03/2005,0
11/03/2005,0
12/03/2005,0
13/03/2005,0
14/03/2005,0
15/03/2005,0
16/03/2005,0
17/03/2005,2
18/03/2005,20.1
19/03/2005,9.6
20/03/2005,22.9
21/03/2005,0.9
22/03/2005,0
23/03/2005,31.6
24/03/2005,1.5
25/03/2005,0
26/03/2005,74.9
27/03/2005,12.4
28/03/2005,35.5
29/03/2005,0
30/03/2005,39
31/03/2005,0.7
01/04/2005,0
02/04/2005,0
03/04/2005,3.6
04/04/2005,0
05/04/2005,50.8
06/04/2005,0
07/04/2005,15.2
08/04/2005,9
09/04/2005,0
10/04/2005,0
11/04/2005,0
12/04/2005,0
13/04/2005,0.5
14/04/2005,1.1
15/04/2005,0
16/04/2005,0.3
17/04/2005,11.8
18/04/2005,0
19/04/2005,0
20/04/2005,8.6
21/04/2005,3.3
22/04/2005,0
23/04/2005,13.4
24/04/2005,0
25/04/2005,19.1
26/04/2005,3.8
27/04/2005,42
28/04/2005,135.6
29/04/2005,2.9
30/04/2005,21.2
01/05/2005,40.6
02/05/2005,3.9
03/05/2005,47.3
04/05/2005,10
05/05/2005,1.8
06/05/2005,13.3
07/05/2005,8.8
08/05/2005,14
09/05/2005,0
10/05/2005,0
11/05/2005,1.9
12/05/2005,10.8
13/05/2005,0
14/05/2005,0
15/05/2005,2.6
16/05/2005,0
17/05/2005,0
18/05/2005,0
19/05/2005,0
20/05/2005,0
21/05/2005,0
22/05/2005,-
23/05/2005,26.5
24/05/2005,6.4
25/05/2005,21.7
26/05/2005,0
27/05/2005,0
28/05/2005,0
29/05/2005,0
30/05/2005,0
31/05/2005,1
01/06/2005,0
02/06/2005,0
03/06/2005,0
04/06/2005,0
05/06/2005,8.2
06/06/2005,0
07/06/2005,0
08/06/2005,0
09/06/2005,0
10/06/2005,0
11/06/2005,4.5
12/06/2005,9.7
13/06/2005,0
14/06/2005,0
15/06/2005,0
16/06/2005,0
17/06/2005,0
18/06/2005,0
19/06/2005,0
20/06/2005,5.6
21/06/2005,13
22/06/2005,2.6
23/06/2005,0
24/06/2005,0
25/06/2005,9.2
26/06/2005,32
27/06/2005,2
28/06/2005,8.2
29/06/2005,0
30/06/2005,0
01/07/2005,0
02/07/2005,0
03/07/2005,0
04/07/2005,0.1
05/07/2005,0
06/07/2005,0
07/07/2005,0
08/07/2005,0
09/07/2005,0
10/07/2005,32
11/07/2005,0.7
12/07/2005,0
13/07/2005,0
14/07/2005,121.5
15/07/2005,15.6
16/07/2005,17.3
17/07/2005,25.2
18/07/2005,0
19/07/2005,2.7
20/07/2005,0
21/07/2005,0
22/07/2005,0
23/07/2005,0
24/07/2005,0
25/07/2005,0
26/07/2005,0
27/07/2005,0
28/07/2005,0
29/07/2005,0
30/07/2005,0
31/07/2005,70.8
01/08/2005,0
02/08/2005,0
03/08/2005,0
04/08/2005,0
05/08/2005,0
06/08/2005,0
07/08/2005,0
08/08/2005,0
09/08/2005,0
10/08/2005,0
11/08/2005,0
12/08/2005,0
13/08/2005,0
14/08/2005,-
15/08/2005,0
16/08/2005,0
17/08/2005,11.2
18/08/2005,1.6
19/08/2005,0
20/08/2005,1
21/08/2005,2
22/08/2005,0
23/08/2005,0
24/08/2005,0
25/08/2005,0
26/08/2005,0
27/08/2005,0
28/08/2005,0
29/08/2005,0
30/08/2005,0
31/08/2005,0
01/09/2005,0
02/09/2005,4.1
03/09/2005,0
04/09/2005,0
05/09/2005,0
06/09/2005,0
07/09/2005,0
08/09/2005,0
09/09/2005,0
10/09/2005,0
11/09/2005,0
12/09/2005,0
13/09/2005,0
14/09/2005,0
15/09/2005,0
16/09/2005,0
17/09/2005,0
18/09/2005,0
19/09/2005,-
20/09/2005,0
21/09/2005,0
22/09/2005,0
23/09/2005,0
24/09/2005,16.1
25/09/2005,64.4
26/09/2005,53.1
27/09/2005,5
28/09/2005,14.8
29/09/2005,0
30/09/2005,0
01/10/2005,0.2
02/10/2005,0
03/10/2005,15.4
04/10/2005,0
05/10/2005,0
06/10/2005,2.2
07/10/2005,0.9
08/10/2005,0
09/10/2005,0
10/10/2005,0.8
11/10/2005,7.7
12/10/2005,2.9
13/10/2005,75
14/10/2005,6.3
15/10/2005,6.7
16/10/2005,10.2
17/10/2005,-
18/10/2005,39.8
19/10/2005,2.6
20/10/2005,31.5
21/10/2005,30.8
22/10/2005,0
23/10/2005,27.5
24/10/2005,10.1
25/10/2005,0
26/10/2005,83
27/10/2005,9.6
28/10/2005,7.2
29/10/2005,42.6
30/10/2005,0
31/10/2005,77.1
01/11/2005,20.4
02/11/2005,1.1
03/11/2005,0.9
04/11/2005,1.6
05/11/2005,0.2
06/11/2005,0
07/11/2005,8.3
08/11/2005,12
09/11/2005,0
10/11/2005,0
11/11/2005,0.5
12/11/2005,37.5
13/11/2005,4.9
14/11/2005,9.8
15/11/2005,4
16/11/2005,18.4
17/11/2005,21.6
18/11/2005,22.8
19/11/2005,4.4
20/11/2005,69.2
21/11/2005,2.8
22/11/2005,19.5
23/11/2005,3.9
24/11/2005,0
25/11/2005,85.6
26/11/2005,64.7
27/11/2005,0
28/11/2005,10.3
29/11/2005,2.4
30/11/2005,32.6
01/12/2005,8.2
02/12/2005,0
03/12/2005,0
04/12/2005,0
05/12/2005,0
06/12/2005,0.8
07/12/2005,0
08/12/2005,6.7
09/12/2005,26.7
10/12/2005,90.2
11/12/2005,21.1
12/12/2005,79.8
13/12/2005,62.9
14/12/2005,25.5
15/12/2005,5.8
16/12/2005,31.4
17/12/2005,9
18/12/2005,2.2
19/12/2005,8.7
20/12/2005,30.4
21/12/2005,4.8
22/12/2005,7.2
23/12/2005,0
24/12/2005,24
25/12/2005,0
26/12/2005,1
27/12/2005,0
28/12/2005,0.2
29/12/2005,0
30/12/2005,31.1
31/12/2005,-
01/01/2006,51.8
02/01/2006,0
03/01/2006,22.5
04/01/2006,5.8
05/01/2006,3.7
06/01/2006,10.3
07/01/2006,26.5
08/01/2006,2
09/01/2006,0
10/01/2006,0.8
11/01/2006,19.3
12/01/2006,2.7
13/01/2006,0.6
14/01/2006,0.2
15/01/2006,19.4
16/01/2006,0.1
17/01/2006,20.7
18/01/2006,8.3
19/01/2006,0
20/01/2006,0
21/01/2006,0
22/01/2006,0
23/01/2006,0
24/01/2006,0
25/01/2006,0
26/01/2006,0
27/01/2006,0
28/01/2006,0
29/01/2006,0
30/01/2006,0
31/01/2006,0
01/02/2006,0
02/02/2006,0
03/02/2006,0
04/02/2006,5
05/02/2006,22.3
06/02/2006,26.6
07/02/2006,2.6
08/02/2006,3.2
09/02/2006,14.4
10/02/2006,-
11/02/2006,13.7
12/02/2006,0
13/02/2006,0.4
14/02/2006,7.6
15/02/2006,13.8
16/02/2006,9.2
17/02/2006,0
18/02/2006,0
19/02/2006,0
20/02/2006,0
